Longitude,Latitude,Target,Aspect,Curvature,Rainfall_Pentad,River_dist_mts,Geology_Age,Geomorphology,Slope,Roads_dist_mts,Soil_type
78.999,29.8783,0,7,1,250.1608124,23,8,3,1,0,6
78.9227,29.7459,0,6,1,278.2645264,18,,3,1,18,2
79.0059,29.7296,0,7,3,270.860321,11,8,3,1,8,6
79.0316,29.7083,0,3,2,270.860321,11,8,3,1,8,6
79.0025,29.8915,0,3,2,232.252533,18,8,3,1,0,6
78.9931,29.9224,0,4,2,244.9590454,34,8,3,1,0,2
78.9279,29.8449,0,9,3,267.7789612,26,8,3,1,0,2
78.9183,29.829,0,6,1,267.7789612,16,8,3,1,16,2
78.8794,29.7216,0,2,1,275.6940918,29,8,3,1,0,6
78.8482,29.8682,0,7,1,267.2776489,0,8,1,1,8,6
78.8546,29.8893,0,4,2,262.3626709,8,8,3,1,0,6
78.8116,29.7531,0,6,3,272.478363,11,8,3,1,16,6
78.901,29.911,0,7,3,253.6995239,16,8,3,1,8,2
78.9713,29.8773,0,6,3,250.1608124,40,8,1,3,8,2
79.0144,29.8022,0,9,3,248.858429,24,8,3,2,16,2
78.985,29.7042,0,7,1,276.7265015,0,,3,2,0,2
79.0127,29.9228,0,6,1,234.8168945,23,8,3,2,0,2
79.0407,29.8721,0,9,3,232.252533,16,8,3,2,8,2
78.8423,29.8356,0,7,3,274.5341492,18,8,3,2,8,6
78.8259,29.8859,0,4,3,267.2776489,0,8,3,2,8,2
78.8418,29.8035,0,7,3,274.5341492,40,8,3,2,0,6
78.9851,29.8097,0,3,1,263.3337402,23,8,3,2,18,2
78.8276,29.8766,0,5,3,267.2776489,0,8,3,1,0,6
78.9464,29.7438,0,6,1,278.2645264,0,,3,2,8,6
79.0282,29.9286,0,3,1,234.8168945,8,8,2,2,0,2
78.7913,29.9115,0,4,3,263.0310059,16,8,3,3,0,6
78.9654,29.8865,0,8,1,250.1608124,52,8,3,3,0,2
79.0054,29.9268,0,7,2,234.8168945,26,8,3,3,8,2
79.0322,29.7161,0,7,1,270.860321,8,8,3,3,8,6
78.8989,29.7103,0,6,2,275.6940918,41,8,3,3,0,2
78.7927,29.8289,0,8,1,276.3983459,23,8,3,3,8,2
78.9442,29.8471,0,10,2,267.7789612,26,8,3,3,0,2
78.9224,29.8286,0,7,1,267.7789612,16,8,3,3,16,2
78.8653,29.7656,0,7,2,264.1102295,52,8,3,3,0,6
78.9887,29.884,0,6,3,250.1608124,33,8,3,3,8,6
78.8561,29.7631,0,9,2,264.1102295,46,8,3,3,0,6
79.0149,29.727,0,8,1,270.860321,8,8,3,4,0,6
79.0238,29.7948,0,10,1,249.6737671,32,8,3,4,8,2
